,종목코드,기업명,상장일
0,068400,AJ렌터카,2012-07-27
1,006840,AK홀딩스,1999-08-11
2,138930,BNK금융지주,2011-03-30
3,001460,BYC,1975-06-02
4,001040,CJ,1973-06-29
5,079160,CJ CGV,2004-12-24
6,000120,CJ대한통운,1956-07-02
7,011150,CJ씨푸드,1988-11-26
8,097950,CJ제일제당,2007-09-28
9,000590,CS홀딩스,1975-12-22
10,016610,DB금융투자,1988-06-27
11,005830,DB손해보험,1973-06-28
12,000990,DB하이텍,1975-12-12
13,139130,DGB금융지주,2011-06-07
14,004840,DRB동일,1976-05-21
15,155660,DSR,2013-05-15
16,069730,DSR제강,2003-01-28
17,017940,E1,1997-08-27
18,007700,F&F,1984-10-04
19,114090,GKL,2009-11-19
20,078930,GS,2004-08-05
21,006360,GS건설,1981-08-03
22,001250,GS글로벌,1976-06-26
23,007070,GS리테일,2011-12-23
24,039570,HDC아이콘트롤스,2015-09-24
25,089470,HDC현대EP,2006-09-25
26,175330,JB금융지주,2013-07-18
27,001060,JW중외제약,1976-06-14
28,096760,JW홀딩스,2007-07-31
29,105560,KB금융,2008-10-10
30,009440,KC그린홀딩스,1994-11-05
31,119650,KC코트렐,2010-01-29
32,092220,KEC,2006-10-16
33,001390,KG케미칼,1989-08-25
34,025000,KPX케미칼,1994-12-27
35,092230,KPX홀딩스,2006-10-12
36,044450,KSS해운,2007-10-26
37,030210,KTB투자증권,1996-11-19
38,058850,KTcs,2010-09-16
39,058860,KTis,2010-12-17
40,093050,LF,2006-12-01
41,003550,LG,1970-02-13
42,034220,LG디스플레이,2004-07-23
43,001120,LG상사,1976-01-30
44,051900,LG생활건강,2001-04-25
45,032640,LG유플러스,2008-04-21
46,011070,LG이노텍,2008-07-24
47,066570,LG전자,2002-04-22
48,108670,LG하우시스,2009-04-20
49,051910,LG화학,2001-04-25
50,079550,LIG넥스원,2015-10-02
51,006260,LS,1977-06-30
52,000680,LS네트웍스,1973-11-15
53,010120,LS산전,1994-07-11
54,023150,MH에탄올,1996-12-24
55,005940,NH투자증권,1975-09-30
56,034310,NICE,2004-02-04
57,008260,NI스틸,1975-06-28
58,010060,OCI,1985-07-09
59,100840,S&TC,2008-02-22
60,064960,S&T모티브,2002-03-11
61,003570,S&T중공업,1976-07-08
62,036530,S&T홀딩스,2002-10-22
63,010950,S-Oil,1987-05-27
64,034120,SBS,2003-06-25
65,101060,SBS미디어홀딩스,2008-03-24
66,004060,SG세계물산,1976-04-19
67,001380,SG충방,1976-06-29
68,002360,SH에너지화학,1985-12-23
69,009160,SIMPAC,1989-07-29
70,034730,SK,2009-11-11
71,011790,SKC,1997-07-18
72,018670,SK가스,1997-08-27
73,001740,SK네트웍스,1977-06-30
74,210980,SK디앤디,2015-06-23
75,096770,SK이노베이션,2007-07-25
76,001510,SK증권,1986-09-20
77,017670,SK텔레콤,1989-11-07
78,000660,SK하이닉스,1996-12-26
79,005610,SPC삼립,1975-05-02
80,077970,STX엔진,2004-05-10
81,002710,TCC스틸,1984-12-21
82,024070,WISCOM,1996-11-22
83,037270,YG PLUS,2003-08-01
84,000500,가온전선,1987-06-08
85,000860,강남제비스코,1975-11-12
86,035250,강원랜드,2003-09-04
87,011420,갤럭시아에스엠,1989-11-14
88,002100,경농,1977-06-30
89,009450,경동나비엔,1993-08-31
90,214390,경보제약,2015-06-29
91,012610,경인양행,1995-10-05
92,013580,계룡건설산업,1996-01-30
93,012200,계양전기,1988-07-06
94,002140,고려산업,1991-01-14
95,010130,고려아연,1990-07-28
96,002240,고려제강,1976-05-25
97,009290,광동제약,1989-11-17
